"id","category","question","answer","origin","date","url"
1,"","Does your company (you) have an Information Security Policy document that is approved by management and published and communicated to all employees, contractors, temporary personnel, and relevant external parties?","Yes, Google is committed to the security of all information stored on its computer systems. This commitment is regularly reinforced by management and is outlined in the Google Code of Conduct, which is posted on Google’s website at https://abc.xyz/investor/other/code-of-conduct.html Google’s Security Philosophy is also outlined at the following page: http://www.google.com/intl/en/corporate/security.html.
The foundation of Google’s commitment to security is its set of security policies that cover physical, network and computer systems, applications services, systems services, account, data, data center security, corporate services, change management, and incident response. These policies are reviewed on a regular basis by Google's executive team to help ensure their continued effectiveness and accuracy.
In addition to these security policies, with which all persons employed by Google must comply, Google has a dedicated Security Team, which has responsibility for a security program that includes awareness raising, internal advocacy, training, strategic reviews, reviews and compliance audits. Google also requires that all third-party contractors comply with these security policies as well.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
2,"","If “yes,” then please provide a copy.","Google does not provide a copy of the security policy to customers.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
3,"","Are your Information Security Policies based upon a standard framework or set of regulatory requirements (e.g. ISO27001 or NIST)?","There are elements of NIST 800 in our practices and we are certified against ISO 27001. We are also PCI DSS 3.0 certified, the 3.1 audit is underway and will be completed this quarter. We have just certified against ISO 27017 and ISO 27081 relating to cloud security and privacy. These standards serve us well with our global customer base.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
4,"","Security Roles. How are the security roles and responsibilities of employees, contractors, temporary personnel, and third party users of your company’s information systems defined and documented in accordance with your Information Security Policy?","Google develops, disseminates, and regularly reviews formal, documented information and asset security policies that address purpose, scope, roles, and responsibilities.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
5,"","Security Breach. What is your policy, procedure and escalation process in event of a security breach/incident?","Google has an incident management process for security events that may affect the confidentiality, integrity, or availability of its systems or data. This process specifies courses of action, procedures for notification, escalation, mitigation, and documentation. To help ensure the swift resolution of security incidents, the Google information security team is available 24x7 to all Google employees.In addition, Google proactively searches for security incidents on an ongoing basis, by actively reviewing inbound security reports, monitoring public mailing lists and blog posts, and tracking automated perimeter systems. When an information security incident occurs, Google’s security staff responds promptly in a manner commensurate with the threat level. Notification of the incident may be generated automatically by Google’s monitoring systems or manually by a Google employee.Google works closely with the security community to track reported issues in Google services and open source tools.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
6,"","User ID. How do you assign all users a unique identifier (user ID) for their personal use only?","Google requires the use of a unique User ID for each employee. This account is used to identify each person’s activity on Google’s network, including any access to employee or customer data. This unique account is used for every system at Google. Upon hire, an employee is assigned the User ID by Human Resources and is granted a default set ofprivileges described below. At the end of a person’s employment, their account’s access to Google’s network is disabled from within the HR system.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
7,"","User Authentication. What authentication technique has been implemented at your company to substantiate the claimed identity of a user?","Where passwords or passphrases are employed for authentication (e.g., signing in to workstations), systems enforce Google’s password policies, including password expiration, restrictions on password reuse, and sufficient password strength.Google makes widespread use of two-factor (2-step) authentication mechanisms, such as certificates and one-time password generators. Two-factor authentication is required for all access to production environments and resources through Google’s Single Sign On system. Third party applications using Google Apps for Business can also usetwo-factor authentication","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
8,"","Status Changes. Describe how responsibilities are clearly defined and assigned for performing status changes (i.e., change of employment location or assignment, termination) in your systems for employees, contractors and temporary personnel.","Access to individual production systems is reviewed periodically by the system owners to ensure that access has been removed for employees who no longer need access. Access to production systems and corporate assets are automatically removed in a timely basis upon submission of a termination request by Human Resources or a manager.

Google maintains personnel and data access policies that govern the administration of access controls including transfers and terminations.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
9,"","Password Management. Describe your password management policy and system for managing passwords that ensures quality passwords are employed by users.","Google has established and enforces strong password policies for all employees and contractors, including password expiration, restrictions on password reuse, and sufficient password strength. Recognizing that even the most complex password is at risk to social engineering, Google makes widespread use of two-factor authentication mechanisms, such as certificates and one-time password generators. These multifactor authentication techniques provide an additional layer of protection in case the user's password is compromised.Google also makes use of additional authentication and session protections, such as idle timeout, password re-use prevention, and account lockout in the event of invalid attempts to log in.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
10,"","How islogical accessto information and application systems and functions by users and by support personnel restricted in accordance with your company’s defined access control policy?","Access to sensitive information in production systems is controlled through authorization and authentication technologies, ensuring that only those specifically authorized to view, update, or delete data can do so. This access must be approved by the appropriate data owner, manager, or other executives, as dictated by Google’s security policies. Access rights and levels are based on the employee’s job function and role, using the concepts of least-privilege and need-to-know to ensure that access is commensurate with defined responsibilities. Approvals are managed by workflow tools that maintain audit records of all changes.
Access to individual production systems is reviewed periodically by the system owners to ensure that access has been removed for employees who no longer need access. Google follows a formal process to grant or revoke access to resources. In the event of an access violation, remedial action would be taken immediately as per policy.
Google employees are only granted a limited set of default permissions to access company resources, such as email, Google’s internal portal, and HR information. Requests for additional access follow a formal process that involves a request and an approval from a data or system owner, manager, or other executives, as dictated by Google’s security policies. Approvals are managed by workﬂow tools that maintain audit records of all changes. These tools control both the modiﬁcation of authorization settings and the approval process to ensure consistent application of the approval policies.

Google’s internal data access processes and policies are designed to prevent unauthorized persons and/or systems from gaining access to systems used to process personal data. Google aims to design its systems to: (i) only allow authorized persons to access data they are authorized to access; and (ii) ensure that personal data cannot be read, copied, altered or removed without authorization during processing, use and after recording. The systems are designed to detect any inappropriate access. Google employs a centralized access management system to control personnel access to production servers, and only provides access to a limited number of authorized personnel. LDAP, Kerberos and a proprietary system utilizing RSA keys are designed to provide Google with secure and flexible access mechanisms. These mechanisms are designed to grant only approved access rights to site hosts, logs, data and configuration information. Google requires the use of unique user IDs, strong passwords; two factor authentication and carefully monitored access lists to minimize the potential for unauthorized account use. The granting or modification of access rights is based on: the authorized personnel’s job responsibilities; job duty requirements necessary to perform authorized tasks; a need to know basis; and must be in accordance with Google’s internal data access policies and training. Approvals are managed by workflow tools that maintain audit records of all changes. Access to systems is logged to create an audit trail for accountability. Where passwords are employed for authentication (e.g., login to workstations), password policies that follow at least industry standard practices are implemented. These standards include password expiry, restrictions on password reuse and sufficient password strength. For access to extremely sensitive information (e.g., credit card data), Google uses hardware tokens","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
